Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Broker name,Broker agent,Street address,City,Zip,State,Country,FederalInt
https://www.zillow.com/homedetails/9839-SW-118th-Ave-Miami-FL-33186/44307345_zpid/,,House for sale,Single Family,26,600000,No,,,1610,sqft,372.67,3005,sqft,3,3,Luxe Properties,,9839 SW 118th Ave,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/11016-SW-123rd-Pl-Miami-FL-33186/44325161_zpid/,,House for sale,Single Family,9,440000,No,,,1015,sqft,433.5,2310,sqft,3,2,"Real Estate Empire Group, Inc.",,11016 SW 123rd Pl,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/12781-SW-135th-Ter-12781-Miami-FL-33186/2115639790_zpid/,,Townhouse for sale,Townhouse,11,510000,No,,,1564,sqft,326.09,,sqft,3,3,Lifestyle International Realty,,12781 SW 135th Ter #12781,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/9807-SW-138th-Ave-GB2R-Miami-FL-33186/44311580_zpid/,,Condo for sale,Condominium,,289000,Yes,10900,02/08/2024,1083,sqft,266.85,,,2,2,FlatFee.com,,9807 SW 138th Ave #GB2R,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/11010-SW-143rd-Pl-Miami-FL-33186/2063461918_zpid/,,Lot / Land for sale,Lot/Land,658,10000,No,,,,,,5662.8,sqft,,,Ace Real Estate,,11010 SW 143rd Pl,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/15019-SW-141st-Pl-Miami-FL-33186/44329391_zpid/,,House for sale,Single Family,,550000,Yes,25000,02/02/2024,1567,sqft,350.99,,,3,2,ByOwner.Com,,15019 SW 141st Pl,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/15126-SW-128th-Ct-Miami-FL-33186/44331085_zpid/,,House for sale,Single Family,,510000,Yes,5000,01/18/2024,1311,sqft,389.02,4050,sqft,3,2,Landmark Real Estate CO,,15126 SW 128th Ct,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/11555-SW-122nd-Pl-Miami-FL-33186/44325902_zpid/,,House for sale,Single Family,9,440000,No,,,1015,sqft,433.5,3935,sqft,3,2,"Real Estate Empire Group, Inc.",,11555 SW 122nd Pl,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/14555-SW-97th-St-Miami-FL-33186/44311730_zpid/,,House for sale,Single Family,18,669000,No,,,1755,sqft,381.2,4682,sqft,4,2,"P.U.R.E. Investments, Inc.",,14555 SW 97th St,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/14293-SW-94th-Circle-Ln-APT-103-27-Miami-FL-33186/44311073_zpid/,,Townhouse for sale,Townhouse,12,430000,No,,,1462,sqft,294.12,,sqft,3,3,"Keller Williams, LLC",,14293 SW 94th Circle Ln APT 103-27,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/13414-SW-102nd-Ln-Miami-FL-33186/44308478_zpid/,,Townhouse for sale,Townhouse,3,489000,No,,,1222,sqft,400.16,,sqft,2,2,"EXP Realty, LLC",,13414 SW 102nd Ln,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/10485-SW-130th-Ct-Miami-FL-33186/44322753_zpid/,,House for sale,Single Family,88,815000,No,,,1869,sqft,436.06,8400,sqft,4,3,"La Rosa Realty Kendall, LLC.",,10485 SW 130th Ct,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/14730-SW-132nd-Ct-Miami-FL-33186/44331279_zpid/,,House for sale,Single Family,40,799000,No,,,2415,sqft,330.85,6346,sqft,4,3,Alyons Int'l Realty Inc,,14730 SW 132nd Ct,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/12171-SW-123rd-Pl-12171-Miami-FL-33186/2098669808_zpid/,,Townhouse for sale,Townhouse,51,649000,No,,,2310,sqft,280.95,,sqft,4,3,United Realty Group Inc,,12171 SW 123rd Pl #12171,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/11105-SW-132nd-Ct-114-Miami-FL-33186/44324008_zpid/,,Townhouse for sale,Townhouse,166,415000,No,,,1290,sqft,321.71,,sqft,2,3,Armand Properties,,11105 SW 132nd Ct #114,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/12342-SW-144th-Ter-Miami-FL-33186/44332564_zpid/,,House for sale,Single Family,450,625000,No,,,2187,sqft,285.78,4911,sqft,4,2,United Real Estate Miami,,12342 SW 144th Ter,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/11382-SW-137th-Pl-Miami-FL-33186/68546591_zpid/,,House for sale,Single Family,123,650000,No,,,2290,sqft,283.84,1925,sqft,4,3,Nader International Realty,,11382 SW 137th Pl,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/10258-SW-145th-Ct-Miami-FL-33186/44310495_zpid/,,House for sale,Single Family,,750000,Yes,49000,02/08/2024,1830,sqft,409.84,6546,sqft,4,2,"R.R.G.,LLC",,10258 SW 145th Ct,Miami,33186,FL,USA,5.33
